id,code,country_code,parent_id,level,name,native_name,is_active,sort_order,created_at,updated_at
1,KEE,TW,0,1,基隆市,基隆市,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
2,TPE,TW,0,1,臺北市,臺北市,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
3,NWT,TW,0,1,新北市,新北市,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
4,KHH,TW,0,1,桃園市,桃園市,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
5,HSZ,TW,0,1,新竹市,新竹市,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
6,HSQ,TW,0,1,新竹縣,新竹縣,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
7,MIA,TW,0,1,苗栗縣,苗栗縣,1,7,2/12/2025 11:44:23,2/12/2025 11:44:23
8,TXG,TW,0,1,臺中市,臺中市,1,8,2/12/2025 11:44:23,2/12/2025 11:44:23
9,CHA,TW,0,1,彰化縣,彰化縣,1,9,2/12/2025 11:44:23,2/12/2025 11:44:23
10,NAN,TW,0,1,南投縣,南投縣,1,10,2/12/2025 11:44:23,2/12/2025 11:44:23
11,YUN,TW,0,1,雲林縣,雲林縣,1,11,2/12/2025 11:44:23,2/12/2025 11:44:23
12,CYI,TW,0,1,嘉義市,嘉義市,1,12,2/12/2025 11:44:23,2/12/2025 11:44:23
13,CYQ,TW,0,1,嘉義縣,嘉義縣,1,13,2/12/2025 11:44:23,2/12/2025 11:44:23
14,TNN,TW,0,1,臺南市,臺南市,1,14,2/12/2025 11:44:23,2/12/2025 11:44:23
15,KHH,TW,0,1,高雄市,高雄市,1,15,2/12/2025 11:44:23,2/12/2025 11:44:23
16,PIF,TW,0,1,屏東縣,屏東縣,1,16,2/12/2025 11:44:23,2/12/2025 11:44:23
17,TTT,TW,0,1,臺東縣,臺東縣,1,17,2/12/2025 11:44:23,2/12/2025 11:44:23
18,HUA,TW,0,1,花蓮縣,花蓮縣,1,18,2/12/2025 11:44:23,2/12/2025 11:44:23
19,ILA,TW,0,1,宜蘭縣,宜蘭縣,1,19,2/12/2025 11:44:23,2/12/2025 11:44:23
20,PEN,TW,0,1,澎湖縣,澎湖縣,1,20,2/12/2025 11:44:23,2/12/2025 11:44:23
21,KIN,TW,0,1,金門縣,金門縣,1,21,2/12/2025 11:44:23,2/12/2025 11:44:23
22,LIE,TW,0,1,連江縣,連江縣,1,22,2/12/2025 11:44:23,2/12/2025 11:44:23
23,,TW,1,2,仁愛區,仁愛區,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
24,,TW,1,2,信義區,信義區,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
25,,TW,1,2,中正區,中正區,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
26,,TW,1,2,中山區,中山區,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
27,,TW,1,2,安樂區,安樂區,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
28,,TW,1,2,暖暖區,暖暖區,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
29,,TW,1,2,七堵區,七堵區,1,7,2/12/2025 11:44:23,2/12/2025 11:44:23
30,,TW,2,2,中正區,中正區,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
31,,TW,2,2,大同區,大同區,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
32,,TW,2,2,中山區,中山區,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
33,,TW,2,2,松山區,松山區,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
34,,TW,2,2,大安區,大安區,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
35,,TW,2,2,萬華區,萬華區,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
36,,TW,2,2,信義區,信義區,1,7,2/12/2025 11:44:23,2/12/2025 11:44:23
37,,TW,2,2,士林區,士林區,1,8,2/12/2025 11:44:23,2/12/2025 11:44:23
38,,TW,2,2,北投區,北投區,1,9,2/12/2025 11:44:23,2/12/2025 11:44:23
39,,TW,2,2,內湖區,內湖區,1,10,2/12/2025 11:44:23,2/12/2025 11:44:23
40,,TW,2,2,南港區,南港區,1,11,2/12/2025 11:44:23,2/12/2025 11:44:23
41,,TW,2,2,文山區,文山區,1,12,2/12/2025 11:44:23,2/12/2025 11:44:23
42,,TW,3,2,萬里區,萬里區,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
43,,TW,3,2,金山區,金山區,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
44,,TW,3,2,板橋區,板橋區,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
45,,TW,3,2,汐止區,汐止區,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
46,,TW,3,2,深坑區,深坑區,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
47,,TW,3,2,石碇區,石碇區,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
48,,TW,3,2,瑞芳區,瑞芳區,1,7,2/12/2025 11:44:23,2/12/2025 11:44:23
49,,TW,3,2,平溪區,平溪區,1,8,2/12/2025 11:44:23,2/12/2025 11:44:23
50,,TW,3,2,雙溪區,雙溪區,1,9,2/12/2025 11:44:23,2/12/2025 11:44:23
51,,TW,3,2,貢寮區,貢寮區,1,10,2/12/2025 11:44:23,2/12/2025 11:44:23
52,,TW,3,2,新店區,新店區,1,11,2/12/2025 11:44:23,2/12/2025 11:44:23
53,,TW,3,2,坪林區,坪林區,1,12,2/12/2025 11:44:23,2/12/2025 11:44:23
54,,TW,3,2,烏來區,烏來區,1,13,2/12/2025 11:44:23,2/12/2025 11:44:23
55,,TW,3,2,永和區,永和區,1,14,2/12/2025 11:44:23,2/12/2025 11:44:23
56,,TW,3,2,中和區,中和區,1,15,2/12/2025 11:44:23,2/12/2025 11:44:23
57,,TW,3,2,土城區,土城區,1,16,2/12/2025 11:44:23,2/12/2025 11:44:23
58,,TW,3,2,三峽區,三峽區,1,17,2/12/2025 11:44:23,2/12/2025 11:44:23
59,,TW,3,2,樹林區,樹林區,1,18,2/12/2025 11:44:23,2/12/2025 11:44:23
60,,TW,3,2,鶯歌區,鶯歌區,1,19,2/12/2025 11:44:23,2/12/2025 11:44:23
61,,TW,3,2,三重區,三重區,1,20,2/12/2025 11:44:23,2/12/2025 11:44:23
62,,TW,3,2,新莊區,新莊區,1,21,2/12/2025 11:44:23,2/12/2025 11:44:23
63,,TW,3,2,泰山區,泰山區,1,22,2/12/2025 11:44:23,2/12/2025 11:44:23
64,,TW,3,2,林口區,林口區,1,23,2/12/2025 11:44:23,2/12/2025 11:44:23
65,,TW,3,2,蘆洲區,蘆洲區,1,24,2/12/2025 11:44:23,2/12/2025 11:44:23
66,,TW,3,2,五股區,五股區,1,25,2/12/2025 11:44:23,2/12/2025 11:44:23
67,,TW,3,2,八里區,八里區,1,26,2/12/2025 11:44:23,2/12/2025 11:44:23
68,,TW,3,2,淡水區,淡水區,1,27,2/12/2025 11:44:23,2/12/2025 11:44:23
69,,TW,3,2,三芝區,三芝區,1,28,2/12/2025 11:44:23,2/12/2025 11:44:23
70,,TW,3,2,石門區,石門區,1,29,2/12/2025 11:44:23,2/12/2025 11:44:23
71,,TW,4,2,中壢區,中壢區,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
72,,TW,4,2,平鎮區,平鎮區,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
73,,TW,4,2,龍潭區,龍潭區,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
74,,TW,4,2,楊梅區,楊梅區,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
75,,TW,4,2,新屋區,新屋區,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
76,,TW,4,2,觀音區,觀音區,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
77,,TW,4,2,桃園區,桃園區,1,7,2/12/2025 11:44:23,2/12/2025 11:44:23
78,,TW,4,2,龜山區,龜山區,1,8,2/12/2025 11:44:23,2/12/2025 11:44:23
79,,TW,4,2,八德區,八德區,1,9,2/12/2025 11:44:23,2/12/2025 11:44:23
80,,TW,4,2,大溪區,大溪區,1,10,2/12/2025 11:44:23,2/12/2025 11:44:23
81,,TW,4,2,復興區,復興區,1,11,2/12/2025 11:44:23,2/12/2025 11:44:23
82,,TW,4,2,大園區,大園區,1,12,2/12/2025 11:44:23,2/12/2025 11:44:23
83,,TW,4,2,蘆竹區,蘆竹區,1,13,2/12/2025 11:44:23,2/12/2025 11:44:23
84,,TW,5,2,東區,東區,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
85,,TW,5,2,北區,北區,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
86,,TW,5,2,香山區,香山區,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
87,,TW,6,2,竹北市,竹北市,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
88,,TW,6,2,湖口鄉,湖口鄉,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
89,,TW,6,2,新豐鄉,新豐鄉,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
90,,TW,6,2,新埔鎮,新埔鎮,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
91,,TW,6,2,關西鎮,關西鎮,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
92,,TW,6,2,芎林鄉,芎林鄉,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
